Date,AAPL,ABBV,ABNB,ACN,ADBE,ADI,AMAT,AMD,AMGN,AMT,AMZN,ASML,AVGO,BA,BAC,BKNG,BLK,BP,BRK-B,BSX,BX,C,CAT,CB,CDNS,COP,COST,CRM,CVX,DE,EQIX,ETN,FIS,GE,GOOGL,GS,HCA,HD,HON,HSBC,IBM,INTU,ISRG,ITW,JNJ,JPM,KLAC,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MDLZ,META,MRK,MS,MSFT,MU,NFLX,NKE,NOW,NVDA,ORCL,PANW,PDD,PFE,PG,PGR,PLTR,PM,QCOM,REGN,RTX,RY,SAP,SCHW,SHEL,SNY,SPGI,SYK,T,TJX,TM,TMO,TSLA,TSM,TTE,TXN,UBER,UNH,UNP,V,VRTX,VZ,WFC,WMT,XOM
2021-01-19,124.4364,92.6449,173.69,238.9471,456.5,147.1145,104.594,89.45,212.1046,187.2723,156.038,525.2662,41.3163,210.71,29.0419,2128.2166,650.7385,19.1842,234.55,36.27,54.1968,53.2748,177.3986,144.7688,137.62,38.421,335.3907,214.1579,76.4165,276.3573,650.5703,115.6488,114.608,55.689,88.5544,261.2497,159.0667,241.8636,175.9783,20.7478,100.2843,372.973,259.47,182.422,141.2261,121.5617,297.6034,241.7548,188.3533,297.6628,156.2951,54.9214,316.7663,186.5294,50.3852,259.2888,67.7282,63.9301,207.6828,83.4221,50.177,129.6924,103.884,12.9887,57.2354,60.675,168.79,28.7803,117.8898,85.9623,26.62,64.301,147.0485,530.9453,61.8425,70.6927,116.9362,55.4887,33.7312,41.4602,300.3928,229.8988,15.8051,62.3809,130.5227,500.761,281.5167,120.7377,33.8537,151.1195,56.3,324.6268,192.4862,194.4785,231.91,42.0049,29.081,44.6566,39.9174
2021-01-20,128.5249,93.0082,161.83,244.3921,469.73,146.4639,103.2725,88.75,215.5988,192.3669,163.169,525.1514,41.5511,211.45,28.6609,2125.2751,657.7368,19.3087,234.76,36.66,54.8784,52.9067,175.8263,145.1975,140.1,37.8864,341.8531,220.7578,77.12,281.9315,660.9421,116.0911,117.3197,55.4941,93.2986,257.9374,160.8383,242.8463,177.1018,20.5997,101.1082,377.3427,266.19,182.5823,140.8791,119.7388,288.3648,240.2242,190.9915,297.811,157.787,53.3098,325.4838,190.5796,50.3499,265.6245,67.1339,63.8022,215.2631,81.4707,58.634,132.9796,108.438,13.3283,57.4876,61.7583,170.96,28.6,116.4161,85.8461,26.34,64.1439,147.7937,539.2792,61.3789,71.3356,117.4423,54.9078,33.8225,40.9677,308.8345,232.8809,15.8106,63.4116,132.1528,509.1106,283.4833,120.1308,34.0645,150.3733,56.38,323.3824,195.0792,198.6735,236.7,42.1595,28.9295,45.3169,40.4814
2021-01-21,133.2364,91.8851,180.4,240.9084,472.02,145.969,103.3969,91.53,215.3168,191.8661,165.3495,545.5695,41.9955,207.41,28.1557,2075.9717,658.3223,18.6939,234.16,37.52,55.2738,51.7524,175.6892,146.4554,138.62,36.074,343.2724,219.503,74.3951,286.2034,653.8217,115.3078,119.566,53.935,93.501,256.9606,160.3116,247.0517,174.6761,21.0738,102.3285,369.8726,266.2233,181.5491,140.3151,118.7349,289.1893,236.3045,192.0259,296.0677,157.7412,53.4225,325.027,190.4904,49.4858,270.9771,66.0918,63.6829,215.8676,82.944,57.984,131.8715,108.866,13.8286,57.1607,60.9367,172.81,28.5844,116.3016,84.2375,25.98,63.8534,147.9285,532.5266,60.728,71.2438,117.6907,54.9921,32.9844,40.7461,304.7863,231.3518,15.7396,63.198,133.3511,505.676,281.6633,123.3676,33.2592,151.9089,55.79,327.2168,185.8876,197.8345,238.64,42.1669,28.5195,45.1113,39.3208
2021-01-22,135.378,91.5547,181.87,237.9477,472.44,142.5692,101.8264,92.79,216.5727,193.3512,164.6115,544.3362,41.8335,205.84,27.9607,2032.9752,651.9804,18.5772,232.92,37.03,54.7185,51.3007,175.4607,142.1317,137.42,35.6563,342.7993,223.0598,74.1687,285.8943,654.966,114.6628,115.5208,54.1299,93.9184,256.9784,159.8998,251.4341,172.1398,20.6071,92.1928,363.1872,248.0267,181.2196,141.8941,117.819,289.0092,234.6993,195.6225,296.2508,157.7961,53.3903,319.7303,190.3566,49.6004,272.5958,65.929,63.1969,216.808,80.2803,56.517,129.7669,108.218,13.674,56.367,60.77,171.89,28.6392,115.405,82.4948,32.58,63.3431,145.8363,534.8139,60.2554,70.3838,117.3043,54.7111,32.5944,40.7872,302.3113,227.8663,15.7942,62.1302,130.364,507.8868,282.2133,118.7515,33.4473,149.9222,54.31,320.3499,185.1991,194.8257,237.59,42.3141,28.4304,45.5722,38.765
2021-01-25,139.1258,91.2574,177.53,235.3979,473.44,140.8648,103.5406,94.13,219.6483,196.4511,164.7,542.5775,41.8129,203.36,27.6151,1985.9349,641.2743,17.9545,233.01,36.78,54.6764,50.6566,171.2556,142.2809,135.9,35.5645,342.4018,223.208,73.4976,279.3645,656.7825,112.2577,114.3842,53.5452,94.0037,251.3396,161.298,252.3902,171.8164,20.2219,92.1695,362.7803,250.67,180.2042,144.0024,116.3484,292.6951,236.2298,201.5156,299.4148,159.3522,53.7605,319.9248,190.3209,50.1471,276.0815,66.0674,61.705,220.2432,79.3046,55.678,128.0907,107.576,13.615,56.8712,60.13,180.43,29.2112,117.3935,82.5931,36.23,63.8613,147.6142,545.1764,59.0963,70.34,119.2826,53.4745,31.7148,40.7379,302.1098,227.5055,15.8924,60.9881,129.2803,512.0618,293.6,120.0204,32.6796,150.0177,54.29,320.5896,184.6001,193.8227,241.31,43.0136,28.7334,45.5317,38.3318
2021-01-26,139.3595,89.8535,192.74,236.2852,476.28,141.9828,101.0603,94.71,220.9298,200.5786,166.3065,524.7882,41.7301,202.06,27.4201,1951.2327,640.272,17.9234,231.57,36.64,54.6091,50.9494,171.1368,139.9606,133.83,34.8128,345.3351,223.5439,72.2524,277.3129,667.7537,111.2624,114.6975,55.0069,94.6821,250.2029,157.1801,250.1946,171.127,20.3701,95.2087,363.1387,256.55,177.8795,147.9065,115.8728,287.6258,238.7777,201.8668,288.2404,158.986,52.3307,318.4767,192.1407,50.782,280.0934,65.3346,60.7076,222.9299,77.5777,56.193,125.8092,106.492,13.3976,57.7117,59.0433,173.98,29.2347,118.1481,81.9676,35.37,64.3716,145.953,541.0989,59.9166,70.3906,124.1136,52.6594,31.8559,40.3439,306.0237,226.0334,16.2418,59.8645,128.6282,501.2051,294.3633,116.4618,32.785,148.7597,51.92,316.2574,178.8688,194.816,237.64,41.6515,27.9669,45.9397,37.49
2021-01-27,138.2886,84.89,201.25,229.8502,460.0,135.1467,94.4047,88.84,214.4882,197.7896,161.629,501.493,40.0056,194.03,26.4364,1855.7256,618.9311,17.6899,227.36,35.82,54.8279,49.6863,165.1217,135.2082,128.43,33.9525,337.2074,222.0816,71.3145,262.998,664.5386,105.844,109.6589,55.4454,90.265,242.717,150.3711,242.625,169.6971,20.2145,95.1931,351.8124,252.91,173.9872,145.6508,112.5969,269.5183,226.7012,196.9795,289.8268,153.5034,48.7685,306.6103,184.6649,49.7503,270.2522,62.7457,58.3291,223.4768,73.2651,52.328,122.0098,103.3,12.8815,58.4121,55.8617,166.3,28.3963,113.9669,77.7852,39.0,62.6522,137.9797,512.7164,58.4009,68.5941,121.6383,49.9239,31.5157,38.85,293.8311,219.1479,15.9088,59.3631,125.6852,476.1858,288.0533,111.9468,32.3334,141.3508,48.11,306.9294,173.7544,188.0267,225.25,40.5912,26.8885,44.7968,37.065
2021-01-28,133.4506,86.0627,187.37,232.8762,465.67,136.732,96.8658,87.52,211.6603,197.1419,161.881,523.0867,40.6389,197.23,26.8707,2001.3527,638.5514,17.7911,230.95,36.34,56.4182,50.4726,168.5132,137.0999,132.95,34.3367,337.8413,223.781,71.9775,274.4555,670.4692,109.0048,112.1558,54.0325,91.9651,244.2178,156.864,246.1663,172.642,20.0812,93.3354,358.4397,255.12,175.724,146.7614,114.5783,275.8289,232.8887,199.3994,285.8347,157.7412,48.0404,315.153,184.5044,50.3675,263.1617,63.4377,59.4002,229.2628,76.4849,53.86,125.4553,110.848,13.0144,57.1701,58.8533,169.36,28.4042,115.7246,79.081,35.66,63.8142,139.6678,503.4776,60.7815,69.2689,120.028,50.3454,31.7314,39.047,305.9854,218.4357,15.7232,60.8116,126.2668,490.0032,278.4767,115.7077,32.7398,146.8164,51.58,311.6855,179.9775,191.161,230.04,40.7679,27.4589,44.7687,37.6453
2021-01-29,128.4568,84.634,183.63,225.9462,458.77,135.0092,92.5851,85.64,206.2609,196.3216,160.31,510.6027,40.5273,194.19,26.2769,1913.0277,622.009,17.293,227.87,35.44,56.536,48.9204,167.142,135.7394,130.39,33.4346,333.4605,222.8523,68.8889,270.5583,672.0404,108.4611,110.4912,52.0349,90.6828,240.7989,155.5999,239.7653,166.2841,19.3701,92.5815,349.991,249.2133,172.9807,141.5298,113.3102,265.3776,229.025,197.3591,280.509,152.7163,45.8246,307.3878,185.4143,48.8862,256.538,62.7457,57.455,222.5748,76.3678,53.239,124.403,108.632,12.9533,56.4323,58.4583,165.71,28.4359,113.816,77.9193,35.18,62.5345,140.3232,501.061,59.4976,68.2062,116.1264,48.2844,30.6112,38.7515,304.0956,209.8977,15.6304,59.4652,123.8172,503.0508,264.51,111.7444,31.6711,144.6169,50.93,307.4732,176.5619,186.368,229.08,40.3114,26.6301,43.7535,36.6482
2021-02-01,130.5789,84.4854,180.44,231.2231,470.0,139.1787,96.9233,87.66,205.4066,203.4108,167.144,529.9406,41.9883,195.84,26.5516,1958.4153,632.573,17.2852,229.32,35.95,58.3366,49.2916,168.8605,137.9478,134.4,34.0026,331.6534,225.7175,69.8672,273.7529,687.262,111.9996,115.6551,52.3272,93.9437,243.9603,159.8615,239.1014,166.4458,19.4812,93.693,361.9566,248.7033,173.5775,141.1654,114.1468,277.2692,233.7193,192.7756,282.4354,149.5311,47.4817,312.5095,185.4946,48.7186,260.1925,62.9818,57.9863,229.9537,78.4753,53.904,126.3772,111.712,13.1999,57.4409,60.2267,173.96,28.3567,114.4906,77.0256,33.96,62.0712,145.0821,505.2776,59.7026,68.5435,119.2182,49.9988,30.3872,39.0716,308.7385,215.1496,15.6413,59.4931,123.7203,508.7455,279.9367,116.471,31.6861,150.5259,52.76,307.8603,177.5723,191.296,231.77,39.9654,26.7281,43.3735,36.7136
